termdays,bank_account_type,bank_name_clients,employment_status_clients,rankloanamt,rankloannum,isreffered,totalduerank,agerank,avgloanamtrank,repaymentrank,good_bad_flag
60,Savings,'Fidelity Bank',Permanent,4,2,0,3,1,3,3,1
30,Other,'Zenith Bank',Permanent,2,1,0,1,1,1,3,1
60,Other,'First Bank',Self-Employed,3,2,0,2,3,3,3,1
30,Other,'GT Bank',Self-Employed,2,2,0,1,2,2,3,1
15,Savings,'Fidelity Bank',Permanent,1,1,0,1,1,2,2,1
30,Other,'GT Bank',Permanent,2,2,0,2,2,3,3,1
15,Savings,'First Bank',Permanent,2,1,0,1,1,2,3,1
30,Other,'Zenith Bank',Permanent,1,1,0,1,1,2,3,1
30,Other,EcoBank,Unemployed,2,1,0,2,1,3,3,1
30,Other,'Access Bank',Permanent,2,1,0,1,3,2,3,1
30,Savings,'Sterling Bank',Student,2,1,0,2,2,2,3,1
90,Other,'Access Bank',Unemployed,4,2,0,3,1,2,3,1
15,Other,'Wema Bank',Self-Employed,1,1,0,1,2,2,2,1
30,Other,'First Bank',Self-Employed,1,1,0,1,2,2,2,1
30,Savings,FCMB,Permanent,2,1,0,1,2,2,3,1
30,Other,'Zenith Bank',Permanent,4,3,0,3,1,3,3,1
30,Savings,'Zenith Bank',Permanent,4,2,0,3,2,3,3,1
30,Savings,'Fidelity Bank',Self-Employed,2,1,0,1,2,2,3,1
60,Other,UBA,Permanent,4,3,0,3,1,2,4,1
90,Other,'First Bank',Student,4,2,0,3,1,4,3,1
15,Savings,'First Bank',Permanent,1,1,1,1,1,2,3,1
30,Other,'GT Bank',Unemployed,2,2,0,2,1,2,3,1
15,Other,'GT Bank',Permanent,2,2,0,1,2,3,3,1
15,Savings,'Diamond Bank',Permanent,1,1,0,1,1,2,3,1
60,Other,FCMB,Permanent,2,1,0,2,2,3,3,1
30,Savings,'First Bank',Self-Employed,3,2,0,2,2,3,3,1
30,Other,EcoBank,Self-Employed,2,1,0,1,2,2,3,1
30,Other,'First Bank',Self-Employed,1,1,0,1,2,2,3,1
30,Savings,'Stanbic IBTC',Permanent,3,2,0,2,2,3,3,1
30,Savings,'Sterling Bank',Permanent,1,1,0,1,1,2,3,1
30,Savings,'GT Bank',Self-Employed,2,1,0,1,1,2,3,1
15,Savings,'GT Bank',Permanent,2,2,0,1,2,2,3,1
15,Savings,'Access Bank',Unemployed,2,1,0,1,2,2,3,1
30,Other,'Diamond Bank',Permanent,1,1,0,1,2,2,2,1
60,Other,'Zenith Bank',Self-Employed,4,1,0,3,1,3,3,1
30,Savings,EcoBank,Student,1,1,0,1,2,2,3,1
30,Other,'Stanbic IBTC',Permanent,4,2,0,3,1,3,3,1
30,Savings,'Access Bank',Permanent,2,1,1,1,1,2,3,1
15,Savings,'Access Bank',Permanent,1,1,0,1,3,2,3,1
30,Savings,'GT Bank',Permanent,2,1,0,1,2,2,3,1
30,Other,'GT Bank',Permanent,2,2,0,1,2,2,3,1
60,Other,'GT Bank',Permanent,2,2,0,2,2,3,3,1
30,Savings,'Zenith Bank',Permanent,2,1,0,2,1,3,3,1
30,Other,'Diamond Bank',Self-Employed,1,1,0,1,1,1,3,1
60,Savings,UBA,Permanent,2,1,0,2,2,2,3,1
30,Other,'GT Bank',Retired,2,2,0,2,1,3,3,1
30,Savings,'First Bank',Permanent,3,2,0,2,3,3,3,1
30,Savings,'First Bank',Permanent,3,2,0,2,2,3,3,1
60,Other,'GT Bank',Self-Employed,3,2,0,2,2,3,3,1
15,Savings,'Zenith Bank',Permanent,1,1,1,1,1,2,3,1
30,Savings,'Zenith Bank',Permanent,2,1,0,2,1,2,3,1
30,Savings,'Stanbic IBTC',Self-Employed,2,2,0,2,1,3,3,1
30,Savings,'GT Bank',Self-Employed,2,2,0,1,2,2,2,1
30,Savings,'Stanbic IBTC',Permanent,2,1,0,2,2,2,3,1
30,Other,'Zenith Bank',Permanent,2,1,0,1,1,2,3,1
30,Savings,'Wema Bank',Permanent,1,1,0,1,1,2,2,1
30,Current,'First Bank',Permanent,1,1,0,1,2,2,3,1
15,Savings,FCMB,Permanent,2,1,0,1,2,2,3,1
15,Savings,EcoBank,Permanent,1,1,1,1,1,2,3,1
60,Savings,'Diamond Bank',Self-Employed,2,1,0,2,1,2,3,1
30,Other,'GT Bank',Permanent,3,2,0,2,2,3,2,1
30,Savings,'Fidelity Bank',Permanent,1,1,0,1,1,2,3,1
30,Savings,'Diamond Bank',Permanent,2,1,1,1,1,2,3,1
30,Other,UBA,Self-Employed,3,2,0,2,2,2,3,1
30,Savings,'Access Bank',Self-Employed,2,2,0,2,2,2,3,1
30,Savings,'Wema Bank',Permanent,1,1,1,1,2,2,3,1
30,Other,'GT Bank',Self-Employed,2,2,0,1,1,2,2,1
30,Savings,'First Bank',Permanent,2,1,0,1,3,2,3,1
30,Other,'Zenith Bank',Student,3,2,0,2,1,3,3,1
30,Savings,UBA,Permanent,2,1,0,1,2,2,3,1
30,Other,'Access Bank',Permanent,2,2,0,2,1,2,3,1
15,Savings,'Access Bank',Permanent,1,1,0,1,1,2,2,1
30,Savings,'GT Bank',Self-Employed,1,1,0,1,2,2,3,1
30,Savings,'GT Bank',Permanent,2,2,0,2,2,3,3,1
30,Savings,'First Bank',Permanent,3,2,0,2,2,2,3,1
30,Other,'GT Bank',Permanent,1,1,0,1,1,2,3,1
30,Other,'Access Bank',Permanent,4,3,0,3,2,3,4,1
30,Other,'GT Bank',Permanent,2,1,0,2,2,2,2,1
60,Savings,'Stanbic IBTC',Permanent,3,1,0,2,2,3,3,1
30,Savings,'Stanbic IBTC',Permanent,1,1,1,1,2,2,3,1
30,Savings,'Access Bank',Unemployed,2,1,1,1,1,2,3,1
30,Savings,'Diamond Bank',Permanent,3,2,0,2,2,3,3,1
30,Other,'Standard Chartered',Permanent,2,1,0,2,1,2,3,1
30,Other,'Zenith Bank',Self-Employed,4,2,0,3,2,4,3,1
30,Other,'Zenith Bank',Permanent,2,1,0,2,1,2,3,1
60,Other,'Diamond Bank',Permanent,2,1,0,2,2,2,3,1
60,Other,'GT Bank',Self-Employed,3,2,0,2,1,3,3,1
60,Other,'First Bank',Self-Employed,2,1,0,2,1,2,3,1
30,Savings,'Heritage Bank',Permanent,1,1,0,1,2,2,2,1
15,Current,'GT Bank',Permanent,1,1,0,1,1,2,3,1
60,Savings,'First Bank',Self-Employed,2,1,0,2,3,2,3,1
30,Savings,'Access Bank',Self-Employed,1,1,0,1,1,2,3,1
30,Current,'Fidelity Bank',Permanent,3,2,0,2,2,3,3,1
30,Other,'GT Bank',Permanent,4,3,0,3,2,3,3,1
30,Other,EcoBank,Self-Employed,2,2,0,1,2,2,2,1
30,Other,'Union Bank',Permanent,3,2,0,2,2,3,3,1
60,Other,'GT Bank',Permanent,2,2,0,2,1,2,3,1
90,Savings,'GT Bank',Self-Employed,4,2,0,3,2,4,3,1
15,Savings,'Skye Bank',Student,1,1,1,1,2,2,2,1
30,Other,'GT Bank',Self-Employed,2,2,0,1,1,2,3,1
30,Savings,'Zenith Bank',Permanent,2,1,0,1,2,2,2,0
30,Savings,'Skye Bank',Permanent,1,1,0,1,2,2,2,0
30,Savings,'Access Bank',Permanent,1,1,1,1,2,2,3,0
30,Savings,'First Bank',Self-Employed,1,1,0,1,2,1,3,0
60,Savings,'Fidelity Bank',Permanent,2,1,0,2,1,2,3,0
15,Savings,'Fidelity Bank',Self-Employed,1,1,0,1,2,2,2,0
60,Other,'Access Bank',Permanent,2,2,0,2,2,2,3,0
30,Savings,'Access Bank',Permanent,2,1,0,2,2,2,3,0
15,Savings,'Diamond Bank',Permanent,1,1,1,1,2,2,3,0
30,Other,'GT Bank',Self-Employed,2,2,0,2,2,2,2,0
60,Savings,'GT Bank',Student,2,1,0,2,1,4,3,0
30,Savings,'Keystone Bank',Permanent,1,1,0,1,2,2,2,0
30,Savings,UBA,Student,2,2,0,2,1,2,3,0
60,Savings,'Stanbic IBTC',Permanent,2,2,0,2,2,2,3,0
30,Savings,'GT Bank',Permanent,1,1,0,1,2,2,2,0
30,Savings,'GT Bank',Self-Employed,2,2,0,2,2,2,2,0
30,Savings,'GT Bank',Permanent,2,1,0,2,1,3,3,0
15,Savings,'GT Bank',Student,1,1,0,1,1,2,2,0
60,Savings,'Keystone Bank',Self-Employed,2,2,0,2,2,2,2,0
30,Savings,'GT Bank',Permanent,1,1,0,1,2,2,1,0
15,Savings,'Sterling Bank',Permanent,1,1,0,1,2,2,2,0
30,Savings,'First Bank',Permanent,1,1,0,1,2,2,2,0
30,Savings,'Zenith Bank',Permanent,1,1,0,1,2,2,2,0
60,Other,'GT Bank',Student,3,2,0,2,1,3,3,0
15,Savings,'GT Bank',Permanent,1,1,1,1,1,2,3,0
30,Savings,'Access Bank',Permanent,2,1,0,2,2,3,2,0
60,Other,'GT Bank',Permanent,3,1,0,2,1,2,3,0
60,Savings,'GT Bank',Self-Employed,3,2,0,2,2,3,3,0
30,Other,'GT Bank',Self-Employed,2,1,0,2,1,2,3,0
30,Other,'Diamond Bank',Permanent,1,1,0,1,1,2,3,0
15,Other,'Zenith Bank',Permanent,2,1,0,1,2,2,2,0
30,Savings,'Zenith Bank',Permanent,3,2,0,2,2,3,2,0
30,Savings,'Access Bank',Unemployed,1,1,0,1,1,2,2,0
15,Savings,'Access Bank',Permanent,1,1,1,1,2,2,3,0
15,Savings,'Zenith Bank',Student,2,1,0,1,1,2,3,0
30,Other,'Skye Bank',Permanent,1,1,0,1,1,2,2,0
30,Savings,'First Bank',Permanent,2,1,0,2,2,2,3,0
60,Savings,'GT Bank',Permanent,2,1,0,2,2,1,3,0
30,Other,'First Bank',Permanent,1,1,0,1,2,2,3,0
30,Savings,'First Bank',Permanent,2,1,0,1,1,1,2,0
30,Savings,'Access Bank',Permanent,1,1,0,1,2,2,3,0
15,Savings,'Skye Bank',Permanent,2,1,0,1,2,2,2,0
30,Savings,'Stanbic IBTC',Permanent,3,2,0,2,1,3,3,0
30,Savings,'Fidelity Bank',Unemployed,1,1,0,1,2,2,2,0
30,Savings,'Diamond Bank',Permanent,1,1,0,1,2,2,3,0
15,Savings,'GT Bank',Permanent,1,1,1,1,2,2,2,0
30,Savings,'First Bank',Self-Employed,2,1,0,1,2,2,3,0
60,Other,'GT Bank',Self-Employed,4,2,0,3,2,4,3,0
60,Savings,'First Bank',Permanent,3,2,0,2,2,3,3,0
30,Savings,'Sterling Bank',Permanent,1,1,0,1,1,2,3,0
30,Other,'GT Bank',Permanent,2,2,0,2,2,2,3,0
30,Other,'GT Bank',Self-Employed,1,1,0,1,2,2,2,0
30,Savings,'Access Bank',Permanent,2,1,0,2,1,2,3,0
60,Savings,'GT Bank',Self-Employed,2,2,0,2,1,3,3,0
30,Savings,'Keystone Bank',Permanent,1,1,0,1,1,2,3,0
30,Savings,'Stanbic IBTC',Self-Employed,1,1,0,1,2,2,2,0
15,Savings,UBA,Permanent,1,1,1,1,1,2,2,0
30,Other,'Skye Bank',Self-Employed,2,1,0,1,2,2,2,0
30,Savings,'Fidelity Bank',Permanent,3,2,0,2,2,3,3,0
30,Other,'GT Bank',Permanent,2,1,0,1,1,2,3,0
30,Savings,'First Bank',Permanent,1,1,1,1,2,2,3,0
15,Other,EcoBank,Permanent,1,1,0,1,2,2,2,0
15,Savings,'Access Bank',Permanent,1,1,1,1,1,2,2,0
60,Other,'GT Bank',Self-Employed,2,2,0,2,2,2,3,0
30,Savings,UBA,Permanent,1,1,1,1,2,2,2,0
30,Savings,'GT Bank',Student,1,1,0,1,1,2,3,0
30,Savings,'GT Bank',Permanent,1,2,0,1,1,2,2,0
60,Other,'Fidelity Bank',Permanent,3,2,0,2,2,2,2,0
30,Savings,'Union Bank',Permanent,1,1,0,1,1,2,2,0
60,Other,'GT Bank',Self-Employed,3,2,0,2,1,3,3,0
15,Savings,'Diamond Bank',Permanent,1,1,0,1,1,2,2,0
30,Savings,'Fidelity Bank',Permanent,1,1,0,1,2,2,3,0
15,Savings,'First Bank',Permanent,1,1,1,1,1,2,3,0
15,Savings,'Diamond Bank',Permanent,1,1,0,1,2,2,2,0
60,Other,'GT Bank',Permanent,3,1,0,2,1,3,3,0
15,Savings,'GT Bank',Self-Employed,1,1,0,1,2,2,2,0
15,Savings,UBA,Permanent,1,1,1,1,2,2,3,0
60,Other,UBA,Permanent,2,2,0,2,2,2,2,0
30,Savings,'Fidelity Bank',Permanent,1,1,0,1,1,2,3,0
30,Savings,'First Bank',Permanent,2,1,0,1,1,2,3,0
30,Savings,UBA,Permanent,2,1,0,1,2,2,3,0
30,Savings,'Skye Bank',Self-Employed,2,1,0,2,1,2,3,0
