termdays,bank_account_type,bank_name_clients,employment_status_clients,rankloanamt,rankloannum,isreffered,totalduerank,agerank,avgloanamtrank,repaymentrank,good_bad_flag
60,Savings,'GT Bank',Permanent,2,2,0,2,1,3,3,Good
30,Savings,'Diamond Bank',Permanent,2,1,0,1,1,2,2,Good
60,Other,'Skye Bank',Self-Employed,2,1,0,2,1,2,3,Good
15,Savings,'Zenith Bank',Permanent,1,1,0,1,2,2,2,Good
30,Current,'Union Bank',Permanent,1,1,0,1,2,2,3,Good
15,Savings,'Sterling Bank',Permanent,1,1,1,1,2,2,3,Good
30,Other,'Zenith Bank',Self-Employed,3,2,0,2,2,3,2,Good
15,Other,'GT Bank',Permanent,2,1,0,1,1,2,2,Good
30,Other,UBA,Self-Employed,3,2,0,2,1,3,2,Good
30,Savings,'Access Bank',Unemployed,2,1,1,1,1,2,3,Good
15,Savings,'Wema Bank',Permanent,1,1,0,1,1,2,3,Good
30,Other,'Zenith Bank',Permanent,2,2,0,1,1,2,2,Good
60,Savings,'Diamond Bank',Self-Employed,2,1,0,2,1,2,3,Good
90,Savings,FCMB,Permanent,4,2,0,3,1,3,3,Good
15,Other,'Zenith Bank',Permanent,1,1,0,1,2,2,2,Good
30,Savings,'Skye Bank',Permanent,3,1,1,2,2,2,3,Good
30,Other,'First Bank',Self-Employed,2,1,0,1,1,2,3,Good
30,Savings,'First Bank',Self-Employed,2,2,0,1,2,2,3,Good
30,Savings,'Fidelity Bank',Permanent,1,1,0,1,1,2,2,Good
60,Other,'Diamond Bank',Permanent,3,2,0,2,2,3,3,Good
30,Other,'Access Bank',Permanent,2,1,0,1,2,2,2,Good
30,Savings,'Access Bank',Student,2,1,0,2,2,2,3,Good
30,Other,'GT Bank',Permanent,2,1,0,1,2,2,2,Good
60,Savings,UBA,Permanent,3,1,0,2,2,3,2,Good
30,Other,'Stanbic IBTC',Self-Employed,3,2,0,2,2,2,3,Good
30,Other,'GT Bank',Permanent,4,2,0,3,1,3,3,Good
15,Other,UBA,Permanent,1,1,0,1,2,2,2,Good
30,Savings,'Sterling Bank',Permanent,2,1,0,1,1,2,3,Good
30,Savings,'GT Bank',Student,1,1,1,1,1,2,3,Good
30,Other,'GT Bank',Permanent,2,1,1,1,2,2,3,Good
15,Savings,'Access Bank',Permanent,1,1,1,1,2,2,3,Good
30,Savings,'GT Bank',Self-Employed,3,2,0,2,2,3,3,Good
15,Savings,'GT Bank',Unemployed,1,1,0,1,2,2,3,Good
30,Savings,'Fidelity Bank',Self-Employed,2,1,0,1,2,2,3,Good
30,Other,'Access Bank',Self-Employed,2,2,0,2,2,2,2,Good
15,Savings,'Stanbic IBTC',Permanent,1,1,0,1,1,2,3,Good
30,Savings,'GT Bank',Self-Employed,1,1,0,1,1,2,3,Good
30,Savings,'GT Bank',Self-Employed,1,1,0,1,2,2,2,Good
15,Savings,'GT Bank',Permanent,1,2,0,1,1,2,3,Good
60,Other,'GT Bank',Self-Employed,4,3,0,3,1,4,3,Good
30,Savings,'Diamond Bank',Self-Employed,1,1,0,1,1,2,2,Good
30,Other,'Diamond Bank',Self-Employed,1,1,0,1,1,1,3,Good
15,Savings,'Stanbic IBTC',Permanent,1,1,0,1,2,2,3,Good
30,Savings,'GT Bank',Permanent,1,1,0,1,2,2,3,Good
30,Other,UBA,Student,2,1,0,1,1,2,3,Good
30,Savings,'GT Bank',Student,3,1,0,2,1,2,3,Good
30,Savings,EcoBank,Permanent,2,1,0,2,2,2,3,Good
30,Savings,'Sterling Bank',Permanent,2,2,0,2,2,3,2,Good
15,Savings,'GT Bank',Student,1,1,1,1,1,2,3,Good
30,Savings,'Stanbic IBTC',Self-Employed,2,1,0,1,2,2,3,Good
15,Savings,'GT Bank',Permanent,1,1,0,1,1,1,3,Good
30,Other,'GT Bank',Self-Employed,2,1,0,1,2,2,2,Good
30,Other,'Zenith Bank',Unemployed,2,2,0,2,3,2,3,Good
15,Savings,'First Bank',Permanent,1,1,0,1,3,2,3,Good
30,Other,'GT Bank',Self-Employed,2,1,0,2,3,2,3,Good
30,Savings,UBA,Self-Employed,1,2,0,1,2,2,3,Good
30,Savings,'Union Bank',Permanent,2,1,0,1,2,2,3,Good
30,Savings,'Diamond Bank',Permanent,2,1,0,2,3,2,3,Good
30,Other,'Access Bank',Permanent,1,1,0,1,1,2,2,Good
30,Other,'Access Bank',Permanent,1,1,0,1,2,2,3,Good
30,Savings,'Wema Bank',Permanent,1,1,0,1,1,2,2,Good
30,Savings,'GT Bank',Permanent,1,1,1,1,2,2,3,Good
90,Other,'GT Bank',Permanent,4,2,0,3,2,4,3,Good
60,Other,'First Bank',Permanent,3,2,0,2,2,3,2,Good
30,Savings,FCMB,Permanent,1,1,0,1,1,2,2,Good
30,Savings,'Access Bank',Self-Employed,3,2,0,2,2,3,2,Good
30,Savings,'Skye Bank',Permanent,1,1,0,1,2,2,2,Good
30,Other,'GT Bank',Retired,2,2,0,2,1,3,3,Good
30,Savings,UBA,Permanent,2,1,1,1,1,2,3,Good
30,Other,'Diamond Bank',Self-Employed,4,2,0,3,2,3,3,Good
30,Other,FCMB,Self-Employed,1,1,0,1,1,2,3,Good
30,Savings,'GT Bank',Student,1,1,0,1,1,3,3,Good
30,Other,'First Bank',Self-Employed,2,2,0,1,2,2,2,Good
30,Other,'GT Bank',Permanent,3,2,0,2,1,3,3,Good
15,Other,'Diamond Bank',Permanent,1,1,0,1,2,2,3,Good
15,Savings,'Zenith Bank',Permanent,1,1,1,1,1,2,3,Good
30,Savings,'Wema Bank',Permanent,2,1,0,1,1,2,3,Good
30,Other,'GT Bank',Self-Employed,2,2,0,1,2,2,3,Good
60,Other,'Diamond Bank',Permanent,2,1,0,2,2,2,3,Good
30,Savings,'Union Bank',Student,2,2,0,2,1,2,3,Good
60,Savings,'Stanbic IBTC',Permanent,3,2,0,2,1,3,3,Good
30,Other,'Access Bank',Student,1,1,0,1,1,2,2,Good
30,Savings,'GT Bank',Student,1,1,0,1,1,2,2,Good
30,Savings,'GT Bank',Permanent,2,2,0,2,2,2,3,Good
30,Savings,FCMB,Self-Employed,2,1,1,1,2,2,3,Good
30,Other,'Zenith Bank',Self-Employed,1,1,0,1,1,2,3,Good
30,Other,EcoBank,Self-Employed,2,2,0,2,3,2,3,Good
30,Other,'GT Bank',Permanent,3,1,0,2,2,2,3,Good
30,Other,UBA,Permanent,3,2,0,2,2,3,3,Good
30,Savings,'First Bank',Permanent,2,2,0,2,1,2,3,Good
30,Other,'Diamond Bank',Permanent,3,2,0,2,2,2,2,Good
30,Other,EcoBank,Permanent,1,1,0,1,2,2,3,Good
30,Savings,'GT Bank',Self-Employed,3,2,0,2,3,2,3,Good
30,Other,'Zenith Bank',Unemployed,1,1,0,1,1,1,2,Good
30,Current,'Stanbic IBTC',Permanent,1,1,1,1,3,2,3,Good
30,Savings,'Zenith Bank',Permanent,2,1,0,1,1,2,2,Good
30,Current,UBA,Permanent,1,1,0,1,2,2,3,Good
15,Savings,'First Bank',Student,1,1,1,1,1,2,3,Good
30,Savings,UBA,Self-Employed,1,1,0,1,2,2,2,Good
15,Other,'GT Bank',Self-Employed,2,1,0,1,1,2,2,Good
15,Savings,UBA,Retired,1,1,0,1,1,2,3,Bad
15,Savings,UBA,Permanent,2,1,0,1,2,2,3,Bad
30,Savings,FCMB,Permanent,1,1,1,1,1,2,2,Bad
15,Savings,'Skye Bank',Permanent,1,1,0,1,1,2,2,Bad
30,Savings,'First Bank',Permanent,1,1,1,1,3,2,3,Bad
30,Savings,EcoBank,Permanent,2,1,1,1,1,2,3,Bad
30,Savings,'GT Bank',Permanent,2,1,0,1,1,2,3,Bad
30,Savings,'GT Bank',Permanent,1,2,0,1,1,2,2,Bad
60,Other,'GT Bank',Permanent,2,2,0,2,1,2,3,Bad
30,Savings,'Access Bank',Permanent,1,1,0,1,1,2,3,Bad
30,Savings,'GT Bank',Self-Employed,2,1,0,1,1,2,2,Bad
60,Savings,EcoBank,Permanent,2,2,0,2,1,2,3,Bad
30,Savings,'Zenith Bank',Permanent,2,1,1,1,2,2,3,Bad
30,Savings,'Sterling Bank',Permanent,1,1,0,1,2,2,2,Bad
30,Other,FCMB,Permanent,2,1,0,1,2,3,2,Bad
30,Savings,'Skye Bank',Permanent,1,1,0,1,1,2,2,Bad
30,Savings,EcoBank,Permanent,1,1,0,1,1,2,3,Bad
30,Savings,'Wema Bank',Permanent,1,1,0,1,2,2,3,Bad
30,Other,'Diamond Bank',Self-Employed,2,2,0,2,1,2,2,Bad
30,Savings,'Access Bank',Unemployed,2,1,0,1,1,2,3,Bad
30,Other,'GT Bank',Self-Employed,2,1,0,2,1,3,3,Bad
30,Savings,UBA,Permanent,2,2,0,2,2,2,3,Bad
30,Savings,'Fidelity Bank',Permanent,1,1,0,1,2,2,3,Bad
15,Savings,'GT Bank',Permanent,1,1,0,1,2,2,2,Bad
60,Other,'GT Bank',Permanent,3,2,0,2,2,3,3,Bad
60,Other,'GT Bank',Permanent,2,1,0,2,1,2,3,Bad
15,Savings,'First Bank',Unemployed,2,1,0,1,1,2,3,Bad
15,Savings,'First Bank',Self-Employed,2,1,0,1,2,2,3,Bad
60,Other,'First Bank',Self-Employed,2,1,0,2,1,3,3,Bad
30,Other,EcoBank,Permanent,2,2,0,2,2,2,3,Bad
30,Other,'GT Bank',Permanent,2,1,0,1,2,2,2,Bad
15,Savings,UBA,Permanent,1,1,0,1,1,2,3,Bad
30,Savings,'Access Bank',Permanent,1,1,1,1,2,2,3,Bad
15,Savings,'Skye Bank',Permanent,2,1,0,1,2,2,2,Bad
60,Savings,'First Bank',Student,4,2,0,3,1,3,3,Bad
30,Savings,'Zenith Bank',Unemployed,2,2,0,2,1,3,3,Bad
60,Savings,UBA,Student,3,1,0,2,1,3,2,Bad
15,Savings,'GT Bank',Self-Employed,1,1,0,1,1,2,3,Bad
15,Savings,'Fidelity Bank',Permanent,1,1,0,1,2,2,3,Bad
15,Savings,'Stanbic IBTC',Permanent,1,1,0,1,2,2,3,Bad
30,Savings,'Sterling Bank',Permanent,2,1,1,2,2,2,3,Bad
15,Savings,'GT Bank',Student,1,1,0,1,1,2,2,Bad
30,Savings,'Zenith Bank',Permanent,2,2,0,2,1,3,3,Bad
30,Savings,'Stanbic IBTC',Permanent,1,1,0,1,1,2,3,Bad
30,Savings,'Diamond Bank',Permanent,1,1,0,1,2,2,2,Bad
60,Other,'GT Bank',Permanent,3,1,0,2,1,3,3,Bad
15,Other,'Zenith Bank',Permanent,1,2,0,1,2,2,2,Bad
15,Savings,'First Bank',Permanent,1,1,0,1,2,2,3,Bad
30,Other,'Diamond Bank',Self-Employed,3,2,0,2,1,3,3,Bad
15,Savings,'Access Bank',Self-Employed,1,1,0,1,2,2,3,Bad
15,Savings,'First Bank',Self-Employed,1,1,0,1,1,2,2,Bad
30,Savings,'Stanbic IBTC',Permanent,1,1,0,1,3,2,2,Bad
30,Savings,'GT Bank',Self-Employed,1,1,0,1,2,2,3,Bad
30,Other,'GT Bank',Self-Employed,1,1,0,1,2,2,2,Bad
30,Other,EcoBank,Student,1,1,0,1,1,2,2,Bad
30,Other,FCMB,Self-Employed,1,1,0,1,2,2,2,Bad
30,Other,'GT Bank',Permanent,2,1,0,2,2,2,3,Bad
30,Savings,EcoBank,Permanent,1,1,1,1,1,2,3,Bad
30,Other,'GT Bank',Permanent,1,1,0,1,2,2,1,Bad
30,Savings,'GT Bank',Permanent,2,1,0,1,2,2,2,Bad
60,Other,'Fidelity Bank',Permanent,3,2,0,2,2,2,2,Bad
90,Other,FCMB,Permanent,4,3,0,3,1,4,4,Bad
15,Savings,UBA,Permanent,1,1,0,1,1,2,2,Bad
30,Savings,'Fidelity Bank',Permanent,3,2,0,2,2,3,3,Bad
15,Savings,UBA,Permanent,1,1,1,1,1,2,3,Bad
30,Savings,'Zenith Bank',Permanent,1,1,0,1,2,2,3,Bad
15,Other,'GT Bank',Permanent,1,1,0,1,2,2,2,Bad
30,Savings,'GT Bank',Permanent,1,1,0,1,1,2,3,Bad
30,Savings,'Access Bank',Permanent,1,1,0,1,2,2,3,Bad
30,Savings,FCMB,Permanent,2,1,0,2,2,3,3,Bad
30,Savings,UBA,Student,1,1,0,1,1,2,3,Bad
15,Savings,'Sterling Bank',Permanent,1,1,1,1,2,2,3,Bad
15,Savings,'Access Bank',Permanent,1,1,0,1,2,2,2,Bad
15,Savings,'Stanbic IBTC',Permanent,1,1,1,1,2,2,2,Bad
30,Savings,FCMB,Permanent,2,1,1,1,3,2,3,Bad
15,Savings,'Access Bank',Permanent,1,1,1,1,3,2,3,Bad
30,Savings,'First Bank',Permanent,2,1,0,2,2,2,3,Bad
30,Savings,'Stanbic IBTC',Permanent,1,1,1,1,2,2,2,Bad
30,Savings,'GT Bank',Permanent,1,1,0,1,1,2,2,Bad
30,Savings,'GT Bank',Student,2,1,1,1,1,2,3,Bad
30,Savings,'Stanbic IBTC',Self-Employed,1,1,0,1,2,2,2,Bad
60,Other,'GT Bank',Permanent,2,1,0,2,2,2,3,Bad
30,Other,EcoBank,Permanent,2,1,0,1,2,2,3,Bad
