termdays,bank_account_type,employment_status_clients,repaymentrank,avgloanamtrank,rankloanamt,rankloannum,isreffered,agerank,good_bad_flag
60,Other,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Retired,3,2,1,1,0,2,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,2,2,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Self-Employed,3,3,2,1,0,1,Good
30,Other,Student,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,2,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Self-Employed,3,3,3,1,0,1,Good
15,Savings,Permanent,2,2,1,1,0,1,Good
15,Other,Self-Employed,2,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Unemployed,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,4,3,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Other,Permanent,2,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,2,1,0,1,Good
60,Savings,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
60,Other,Student,3,3,3,1,0,1,Good
60,Other,Self-Employed,2,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Unemployed,2,2,2,1,0,1,Good
30,Savings,Self-Employed,3,3,2,1,0,1,Good
30,Other,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Other,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,2,2,1,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
30,Savings,Permanent,2,2,1,1,1,1,Good
30,Savings,Permanent,3,3,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Permanent,3,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,3,2,1,0,1,Good
30,Other,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
60,Other,Self-Employed,3,3,2,1,0,1,Good
30,Other,Self-Employed,2,2,1,1,0,1,Good
30,Other,Permanent,3,3,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Other,Student,3,2,2,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
15,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Self-Employed,2,2,2,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,0,1,Good
30,Savings,Permanent,3,2,1,1,1,1,Good
